,job518_scenario0_1061,job523_scenario0_1073,job526_scenario0_1078,job529_scenario1_1087,job530_scenario3_1089,job531_scenario3_1092,job532_scenario2_1093,job533_scenario4_1094,
in27,0.8573305103201462,0.7775181007263353,0.7213426163317134,0.7770924600875734,0.8423740285364882,0.6933384078383464,0.444086515673773,0.7392407409146613,
B14,0.9590978731792017,0.8639117161281931,0.8004241961995462,0.8655350528098051,0.9308166212587198,0.781781000560578,0.47882995015382623,0.49922250011118247,
B11,0.4182482899143086,0.41216304030589934,0.4381335797222652,0.4005634219449858,0.4272106828938605,0.5568276104992376,0.0,0.2538765600924858,
