,job193_scenario0_345,job201_scenario0_357,job205_scenario0_365,job208_scenario0_373,job210_scenario0_375,job216_scenario1_386,job218_scenario1_388,job220_scenario0_398,job221_scenario1_400,job222_scenario4_401,job223_scenario2_404,
in27,0.5432314326857838,0.5099089061509504,0.4825659281365431,0.4859007481721359,0.4459406077562734,0.4892690172822537,0.47200866698201516,0.21505583435996645,0.2560252982838843,0.29036473524516077,0.0,
B14,0.6272905871543386,0.5468863917935489,0.5462325326477417,0.4778464325606827,0.5232092227563534,0.5964473381043999,0.5560678214505699,0.32827441529323115,0.28271441715248435,0.310757285202517,0.3897809240169733,
B11,0.6632405530875232,0.5237672254399574,0.49642424742555,0.44238903186118816,0.4761275539303972,0.518192187313399,0.44723267877098205,0.2536901418600064,0.2440801096524443,0.29036473524516077,0.06570352874493973,
cn12,0.4232223122840444,0.3932617663919278,0.35925886872879453,0.33920250890179626,0.32250292852877604,0.4892690172822537,0.3732264912266143,0.09504671395822695,0.21251358197293668,0.310757285202517,0.040927540533906626,
B54,0.6632405530875232,0.6437763458416967,0.5777990603272494,0.5224860783518019,0.5232092227563534,0.5346938642507684,0.6058761066727616,0.315443615713638,0.4729243727337716,0.480574690826448,0.23113749611519385,
