,job309_scenario0_571,job318_scenario0_592,job324_scenario3_601,job325_scenario0_602,job329_scenario0_610,job330_scenario3_611,job331_scenario4_615,job332_scenario2_616,job333_scenario3_619,job334_scenario0_620,
in27,0.5022832607775567,0.41773254607250854,0.5491398399555252,0.37954117328909354,0.28345600173933766,0.4978924823636974,0.36990348042381876,0.2890580380022151,0.28437170749109425,0.049808285222191606,
B14,0.7697618313589241,0.6815053174760604,0.7211080379941286,0.6121907887352408,0.5577251117891797,0.7849923919931324,0.5783551935477897,0.9361853088368685,0.5559564759740807,0.30632820296303986,
B11,0.5497983129658817,0.45471003171510704,0.5926515562664729,0.3872373986739003,0.40346512214107716,0.5561481289118052,0.5783551935477897,0.3308120076129536,0.4043808278928336,0.01435088452269695,
cn12,0.5623956174826207,0.4912953618947732,0.7393497955368125,0.4318770444650195,0.3471226062505363,0.5809241171228383,0.5783551935477897,0.4263952644181558,0.45418911311502513,0.08137481290169934,
B54,0.3893419201963496,0.381782580139324,0.36108067678891037,0.2521634275300225,0.20887172830611306,0.32807507673976627,0.4085377879238589,0.5761579476316503,0.354572542670642,0.0,
