,job90_scenario3_179,job91_scenario2_180,job92_scenario0_181,job93_scenario1_182,
in27,0.9323687229823774,0.7493759578393606,0.5888716242865453,0.6783888326246345,
B14,1.1225786785636644,0.9662750322892478,0.668968670777159,0.7566439834156353,
B11,0.963935250661885,0.8462659118875084,0.6408307019234092,0.6783888326246345,
cn12,0.3933053839180234,0.23700173764360688,0.0,0.11489962996374337,
B54,0.9056796041137771,0.8960741971097002,0.668968670777159,0.8148996299637433,
B51,1.242587798965404,0.7911299274500989,0.6906389871456008,0.6633239818824961,
os4,0.8825604377601857,0.9662750322892478,0.5489595503754197,0.6366348630138959,
