,job671_scenario0_1401,job674_scenario2_1409,job676_scenario4_1411,job677_scenario2_1416,job678_scenario0_1417,job679_scenario3_1421,
in27,0.7105487841613491,0.7610119445271716,0.8445048064360938,0.6007336088806371,0.3823330418201413,0.356642615463349,
B14,0.8135143287080182,0.9512219001084588,0.8445048064360938,0.7056778785402382,0.49116818449972915,0.356642615463349,
B11,0.30659560321202906,0.3319902795955369,0.4004182907623209,0.1148931235961258,0.0,0.009446053837724011,
cn12,0.3410818723082034,0.4027975481897061,0.4609079884729738,0.19437571479057203,0.005149422319907004,0.07799006715983015,
B54,0.8948891416097176,0.9512219001084588,1.0347147620173809,0.737244406219746,0.5142873508533207,0.3833317343319492,
