,job646_scenario0_1342,job657_scenario1_1383,job659_scenario1_1386,job660_scenario0_1389,job661_scenario4_1390,job662_scenario1_1391,job663_scenario1_1392,
in27,0.9513506794194796,0.8200670614551158,0.722014436525322,0.5123742201957535,0.6312206697158472,0.5131427082192089,0.4842195381880637,
B14,0.5477114361134994,0.42578883100353426,0.3663705135737806,0.18829682492372024,0.34577758194385366,0.12419217698284557,0.12419217698284557,
B11,0.6295073353099913,0.5329671518256806,0.49394138435328305,0.20215514421272696,0.38275506758645206,0.21097794784763546,0.17623451336758222,
cn12,0.4155236320174658,0.3245154387017095,0.2493465802756959,0.0,0.21605732407321954,0.019854340737865628,0.010973596049580703,
B54,0.7344516049695923,0.6614236335533362,0.6020053161235825,0.299045098260875,0.44101071413456,0.28117878302718324,0.28117878302718324,
