,job820_scenario0_1837,job826_scenario0_1853,job827_scenario0_1861,job828_scenario0_1864,job829_scenario1_1867,job830_scenario2_1870,job831_scenario0_1871,job832_scenario4_1872,job833_scenario1_1873,
in27,0.7934655103667911,0.6907936308926467,0.5820103934110608,0.5609155408953299,0.5834088208544167,0.5591103187511838,0.31627582054357584,0.42393162747352214,0.36217815361989064,
B14,0.4727500957374742,0.3771459960838619,0.24942004235774573,0.23737169477547937,0.3349432187250216,0.17869040758860932,0.024298502103233033,0.043511716310947746,0.0,
B11,0.49442041210591614,0.41920886240966004,0.3511874052168014,0.28933077241234323,0.28308595618245597,0.30085032040502113,0.05975590280272758,0.29197731844034286,0.0670239283790024,
