,job826_scenario0_1853,job827_scenario0_1861,job828_scenario0_1864,job831_scenario0_1871,job833_scenario1_1873,job834_scenario1_1876,job836_scenario0_1880,job837_scenario1_1881,job838_scenario0_1882,job839_scenario1_1887,job840_scenario1_1890,job841_scenario1_1891,job842_scenario1_1892,job843_scenario1_1893,
in27,0.4996122186463283,0.4376207632270621,0.4473063146783105,0.4023734216307907,0.5455145517226432,0.4488798471495273,0.3389364743678592,0.4041725972395384,0.3465083918480501,0.5083305768639611,0.2369460541367171,0.12557189440505767,0.12000912040173928,0.0,
B14,0.806402735803597,0.7254685641398005,0.7442006205245133,0.7308342551565012,0.8037745500688058,0.7425972461951844,0.7154655125104468,0.7908890773133568,0.6069191826088851,0.7981571028896315,0.5654068876624276,0.3794484544975434,0.17826476694984716,0.2982738873515866,
B11,0.7466982392703394,0.7254685641398005,0.6943923353023216,0.6645242929969402,0.7690311155887526,0.7136740761640392,0.5870090307827911,0.7641999584447565,0.5228600281403304,0.5442805427971458,0.49520605248287974,0.4110149821770511,0.2982738873515866,0.22807305217203883,
