,job742_scenario1_1602,job745_scenario0_1610,job746_scenario0_1611,job747_scenario2_1613,job748_scenario4_1614,
in27,0.5736762689700463,0.2788142272902775,0.2301220294924129,0.20952909786248597,0.32953821826422547,
B14,0.5736762689700463,0.245590877753328,0.2301220294924129,0.20952909786248597,0.2593373830846777,
B11,0.8136945097735251,0.5326907873827631,0.49790144561057953,0.5695564590677042,0.6895655794694435,
cn12,0.3741053005343602,0.03226175581844937,0.0,0.019319142281198798,0.18283997899388582,
B54,0.6438771041495941,0.4126816669810237,0.3318893923514685,0.3028490993956252,0.3997390534437732,
