,job680_scenario0_1428,job683_scenario3_1433,job684_scenario1_1434,job687_scenario1_1440,job688_scenario1_1445,job690_scenario3_1449,job691_scenario4_1451,job692_scenario2_1452,job693_scenario0_1453,
in27,0.40442373786224906,0.7140975034310314,0.5313858706724603,0.47665831871963577,0.4272106828938605,0.46413349536060283,0.3168093696957587,0.17312763358529104,0.021226944646338564,
B14,0.477635719597163,0.6754631959309914,0.5163210199303221,0.5816025883792368,0.7058632311973794,0.6227769232623823,0.3981841825974581,0.5100358284369177,0.08405915446855472,
B11,0.44455707258670185,0.7140975034310314,0.5661293051525136,0.4931599956570052,0.4454524404365443,0.5027678028606428,0.5568276104992375,0.18595843316488414,0.0,
