,job656_scenario0_1378,job657_scenario1_1383,job659_scenario1_1386,job660_scenario0_1389,job662_scenario1_1391,job663_scenario1_1392,job664_scenario0_1393,job665_scenario1_1395,job666_scenario2_1396,job667_scenario3_1397,job668_scenario2_1398,job669_scenario1_1399,job670_scenario0_1400,job671_scenario0_1401,job672_scenario2_1407,job673_scenario4_1408,
in27,0.4212539089045009,0.5502425499158128,0.4908160143530224,0.3589068782031035,0.5025790053917056,0.46379517888145133,0.32045800271047614,0.4052464365274202,0.4459265668502768,0.5682848751088452,0.40120692921767104,0.3573808151772186,0.23104496365424737,0.19041955657617043,0.0,0.26670735967207887,
B14,0.5532082179376803,0.6000508351380043,0.579258607075254,0.478915998604843,0.5577149898291152,0.5478543333500061,0.38759439394686906,0.514081579207008,0.550870836509878,0.4869100622071457,0.5914168847989583,0.45427076922536647,0.294711568165446,0.29338510112283944,0.17826476694984728,0.2168990744498873,
B11,0.446029897115534,0.6000508351380043,0.5996511570326102,0.38559599707170367,0.5373224398717589,0.4927183489125966,0.37026628793266786,0.4936890292496518,0.4308617161081385,0.7269283030106246,0.41627177995980935,0.4156364617253264,0.294711568165446,0.23055289130062323,0.14669823927033954,0.09688995404814787,
