,job631_scenario0_1308,job632_scenario0_1311,job633_scenario0_1312,job634_scenario1_1314,job635_scenario2_1316,job636_scenario0_1319,job637_scenario2_1320,job638_scenario1_1321,job639_scenario4_1324,job641_scenario0_1333,job642_scenario0_1334,job643_scenario0_1337,job644_scenario3_1338,job645_scenario0_1340,job646_scenario0_1342,
in27,0.5408014212393105,0.525776806646172,0.5328156679803241,0.6353064586604993,0.6650066911282025,0.4961330081476806,0.6227703233862018,0.5885146765981795,0.6216975580839302,0.35738081517721854,0.3382232844763936,0.26177671552360626,0.4970669581339156,0.10567331500493227,0.0,
B14,0.7919140550414688,0.7873857790946205,0.805171647372599,0.8908398406104266,0.9019052698209828,0.7002012830179747,0.8747337528211204,0.8236555085907507,0.9003501063874491,0.5862250782585459,0.5670675475577209,0.5017949563270852,0.655710386035695,0.3211928079494356,0.1990907002695721,
B11,0.97222779931169,0.9887697123980592,0.9669347373850768,1.1104655314565492,1.0801700367708302,0.9237178468840841,1.0916328272710079,1.0840662993515857,1.179002654690968,0.7421841645934699,0.7684514808611596,0.6678070095861961,0.9841712195614055,0.4910102135733666,0.4137265194473966,
