,job719_scenario2_1595,job720_scenario2_1596,job721_scenario4_1597,job722_scenario1_1598,job723_scenario1_1599,
in27,0.30095617469516833,0.23210908869705293,0.29269989166903865,0.07111448670803044,0.08394528628762377,
B14,0.9915951618407692,1.1894554355147329,0.8198180421019527,0.6684334723204921,0.6684334723204921,
B11,0.34758755311681444,0.32193126292466867,0.3825220658966543,0.16093666093564607,0.28094578133738546,
cn12,0.25296085434072935,0.17923635953170636,0.2215854049610082,0.008880744688285036,0.0,
B54,0.9213943266612216,0.8525472406631062,0.8513845697814604,0.7182417575426838,0.7498082852221916,
