,job175_scenario0_329,job178_scenario1_333,job184_scenario0_342,job186_scenario0_345,job189_scenario0_348,job191_scenario1_355,job193_scenario1_357,job194_scenario1_359,job197_scenario0_362,job198_scenario1_365,job199_scenario1_367,job200_scenario1_368,job201_scenario1_371,job204_scenario1_374,job205_scenario1_377,job206_scenario1_379,job207_scenario4_381,job208_scenario3_383,
in27,0.4008843656133986,0.5385385078640952,0.3476937024696366,0.34938925353902395,0.3662609564324344,0.43850496631813335,0.4427097678835359,0.3772808629445975,0.2692700989663466,0.32394891809293075,0.342638533725877,0.41723998083881847,0.3641471711075603,0.22237263353366188,0.19890428203709298,0.15334428389634613,0.08333452701658495,0.0,
B14,0.7249617608854321,0.8519344906476672,0.6934826420095483,0.7232749340332492,0.6796569392160066,0.7322223653637905,0.8965074210262036,0.744376003970348,0.5865569547699054,0.683976279298149,0.7053502364979505,0.7190116954959288,0.642799719411079,0.6441534685925117,0.4914151496296187,0.4635633598793727,0.5206305032218833,0.46886250388480605,
B11,0.5733861128041849,0.6971819357658746,0.5480910999821546,0.5218910007298103,0.5098395335920755,0.6122132449620512,0.6796083465763163,0.6243668835686086,0.4500461574307966,0.5474654819590401,0.5151402809166634,0.4918242542720432,0.4729823137871482,0.5010251818371807,0.37140602922787935,0.32705256254026394,0.3619870753201039,0.29904509826087505,
cn12,0.43622073410742945,0.6323087998015446,0.3894476720803751,0.39138554168178075,0.37267415489531996,0.5087058014976811,0.5259837211746952,0.5142539744779352,0.30111386699791204,0.44395803849467014,0.43557843288271664,0.38567345315931073,0.3760923597390002,0.36062351147808525,0.32159774400568764,0.20704344213852455,0.28061226241840453,0.17903597785913566,
B54,0.7867152347390637,0.9221353258272151,0.759186170754488,0.7480509222442822,0.7649226251376926,0.8371666350233917,0.8578731135261636,0.8461433668294036,0.648310428623537,0.89242799242212,0.7867250493996498,0.8159016495440767,0.7130005545906271,0.6708425874611118,0.6429907977108659,0.5835724802811122,0.4819961957218433,0.24390911382346558,
