,job241_scenario0_451,job247_scenario1_463,job249_scenario0_466,job250_scenario0_467,job252_scenario0_470,job255_scenario1_474,job256_scenario4_475,job257_scenario2_476,job258_scenario1_477,job259_scenario1_480,job260_scenario0_481,job261_scenario0_484,job262_scenario1_485,job263_scenario2_486,job264_scenario2_488,job265_scenario0_489,job266_scenario4_490,job267_scenario3_491,
in27,0.48072467450618617,0.5364236831240418,0.424670655510755,0.3976383665711891,0.36962278065998255,0.5135179083257568,0.5422915593466879,0.5114017531996891,0.4236825882985772,0.4262113037664181,0.2617767155236064,0.20376317265096638,0.40587784881249506,0.19446046766665653,0.17312763358529104,0.0,0.09132718004482976,0.14113546526702136,
B14,0.7974779811575621,0.7394644382849223,0.6379997774456339,0.6398073997893403,0.6462263516431275,0.7037278639070441,0.8525106353297145,0.8918216643622635,0.7107824979280124,0.5627221011055269,0.5360458255734484,0.43939797520076834,0.5027678028606429,0.4881778667123137,0.5416023561164256,0.23563480254980196,0.2815371356261169,0.5215553764295957,
B11,0.6842594002242974,0.8466427591070684,0.6379997774456339,0.6011730922893004,0.6462263516431275,0.6872261869696747,0.8138763278296745,0.6518034235587847,0.6138925438798645,0.5746672897369669,0.4658449903939006,0.38114232865266046,0.5027678028606429,0.43447870847013537,0.3761683887461714,0.274269110049842,0.30465630197970833,0.45135454125004787,
