RecordTimeStamp,CurrentSystemTick,JobsId,WorkerId,ArrivalTime,AssignTime,Reason
1644417505,525,job261_scenario0_484,notAssignedYet,484,notAssignedYet,long_waiting_time,
1644417505,527,job263_scenario2_486,notAssignedYet,486,notAssignedYet,long_waiting_time,
1644417505,530,job265_scenario0_489,notAssignedYet,489,notAssignedYet,long_waiting_time,
1644417506,552,job276_scenario0_511,notAssignedYet,511,notAssignedYet,long_waiting_time,
1644417506,557,job280_scenario1_516,notAssignedYet,516,notAssignedYet,long_waiting_time,
1644417506,560,job281_scenario0_519,notAssignedYet,519,notAssignedYet,long_waiting_time,
1644417506,562,job282_scenario2_521,notAssignedYet,521,notAssignedYet,long_waiting_time,
1644417506,563,job283_scenario1_522,notAssignedYet,522,notAssignedYet,long_waiting_time,
1644417507,595,job296_scenario0_554,notAssignedYet,554,notAssignedYet,long_waiting_time,
1644417507,599,job298_scenario0_558,notAssignedYet,558,notAssignedYet,long_waiting_time,
1644417507,608,job303_scenario0_567,notAssignedYet,567,notAssignedYet,long_waiting_time,
1644417508,618,job307_scenario0_577,notAssignedYet,577,notAssignedYet,long_waiting_time,
1644417508,620,job309_scenario2_579,notAssignedYet,579,notAssignedYet,long_waiting_time,
1644417508,622,job311_scenario1_581,notAssignedYet,581,notAssignedYet,long_waiting_time,
1644417508,630,job314_scenario0_589,notAssignedYet,589,notAssignedYet,long_waiting_time,
1644417508,633,job316_scenario0_592,notAssignedYet,592,notAssignedYet,long_waiting_time,
1644417508,641,job321_scenario2_600,notAssignedYet,600,notAssignedYet,long_waiting_time,
1644417508,644,job322_scenario0_603,notAssignedYet,603,notAssignedYet,long_waiting_time,
1644417508,650,job326_scenario0_609,notAssignedYet,609,notAssignedYet,long_waiting_time,
1644417509,664,job333_scenario0_623,notAssignedYet,623,notAssignedYet,long_waiting_time,
1644417509,673,job336_scenario0_632,notAssignedYet,632,notAssignedYet,long_waiting_time,
1644417509,678,job338_scenario0_637,notAssignedYet,637,notAssignedYet,long_waiting_time,
1644417509,681,job339_scenario0_640,notAssignedYet,640,notAssignedYet,long_waiting_time,
1644417509,684,job341_scenario0_643,notAssignedYet,643,notAssignedYet,long_waiting_time,
1644417510,691,job345_scenario2_650,notAssignedYet,650,notAssignedYet,long_waiting_time,
1644417510,694,job347_scenario0_653,notAssignedYet,653,notAssignedYet,long_waiting_time,
1644417510,707,job355_scenario0_666,notAssignedYet,666,notAssignedYet,long_waiting_time,
1644417510,722,job363_scenario0_681,notAssignedYet,681,notAssignedYet,long_waiting_time,
1644417513,795,job386_scenario0_754,notAssignedYet,754,notAssignedYet,long_waiting_time,
1644417514,841,job406_scenario2_800,notAssignedYet,800,notAssignedYet,long_waiting_time,
1644417514,846,job410_scenario2_805,notAssignedYet,805,notAssignedYet,long_waiting_time,
1644417515,850,job411_scenario1_809,notAssignedYet,809,notAssignedYet,long_waiting_time,
