,job222_scenario0_440,job227_scenario0_448,job229_scenario0_451,job235_scenario0_460,job237_scenario2_464,job240_scenario0_468,job241_scenario0_469,job242_scenario1_470,job243_scenario0_472,job245_scenario0_479,job246_scenario0_480,job250_scenario1_484,job251_scenario0_485,job252_scenario1_486,job254_scenario1_489,job255_scenario1_491,job256_scenario1_493,job257_scenario4_494,job258_scenario0_495,job259_scenario0_496,job260_scenario1_497,job261_scenario3_499,
in27,0.4436102021740931,0.39556794964021413,0.4207415434149393,0.39031332298218413,0.4267911856789941,0.38086855969735456,0.33742911345170856,0.47460280891998574,0.3887614803318347,0.31664510352199493,0.27049409190367046,0.3944962567942191,0.21895182552355874,0.39176750125976084,0.2648771041849176,0.22100286668886404,0.2286531847815405,0.2952551286588281,0.035367427661040396,0.0,0.05380026350351086,0.08609141863498848,
B14,0.8471492796902591,0.895996981204528,0.793792829220182,0.8131728940096186,0.8825805714521888,0.8110967560821205,0.8182368059679546,0.9915335174216691,0.7908517078628511,0.7153067722272533,0.7930557540306549,0.7294913209882788,0.6536773283429329,0.815699128733283,0.8741412784288193,0.7214318982531778,0.7023930974772541,0.652555873467811,0.47009293048041456,0.42793496335089937,0.5182793291346401,0.39631049461801504,
B11,0.8471492796902591,0.7822844297140324,0.8011614545775136,0.7949311364669346,0.8675157207100506,0.7370905685377528,0.756483332114323,0.8132687504718218,0.7245417457032901,0.6728671123623932,0.6811009492403687,0.7433496402772858,0.6363492223287317,0.7085208079111368,0.6839313228475321,0.6827975907531378,0.7023930974772541,0.7339306863695104,0.4612121857921295,0.3670951410257504,0.4631433446972307,0.6567212853788501,
cn12,0.6969532131143958,0.6688095399806423,0.6849576865405942,0.650724113743019,0.7879538726761038,0.5992164841323916,0.5978399042125435,0.743067915292274,0.5789714359131222,0.5316310473143152,0.5208164041900216,0.6384053706176847,0.47282838561604457,0.6725708419779521,0.5712908278031243,0.62454194420503,0.512183141895967,0.652555873467811,0.3096365377108824,0.25032231228635116,0.3877738700866105,0.5865204501993022,
B54,0.9301809144494,0.884051792573088,0.8751676421218815,0.8230691053206844,0.9608357222431898,0.799922778359969,0.8310676055475477,0.9332778708735612,0.7691813914944092,0.785507607406801,0.7393565957884765,0.8633587606790252,0.8034400115564273,0.9125890827814309,0.7337396080697236,0.9614501390566567,0.9192921719271415,0.7023641586900027,0.5496547785143612,0.4471921875163642,0.5413984954882316,0.4980778574770707,
