,job437_scenario3_856,job444_scenario3_870,job445_scenario2_875,job446_scenario3_876,job447_scenario2_877,job448_scenario0_878,
in27,1.0872689663223631,1.0794269952919622,0.6851781641534092,0.8060735909938768,0.6342964712550601,0.46447906563112906,
B14,1.3476797570831982,1.0794269952919622,1.0170675565048777,0.9576492390751239,0.8245064268363473,0.644192682566126,
B11,0.7321190139280526,0.6105644914071562,0.3081868118165927,0.33721108710907066,0.6160547137123762,0.04542484696851479,
cn12,0.7449498135076458,0.5651396444386416,0.3329628000276259,0.513562723401351,0.22177648326079502,0.0,
B54,1.118835494001871,0.8007744469884434,0.7770493157013987,0.8376401186733845,0.6658629989345679,0.4960455933106368,
