participantId,,park_scenario_a_time,park_scenario_a_time_start,park_scenario_a_time_end,park_scenario_a_quality,park_scenario_a_type,park_scenario_a_order,turn_left_scenario_a_time,turn_left_scenario_a_time_start,turn_left_scenario_a_time_end,turn_left_scenario_a_quality,turn_left_scenario_a_type,turn_left_scenario_a_order,slow_vehicle_scenario_a_time,slow_vehicle_scenario_a_time_start,slow_vehicle_scenario_a_time_end,slow_vehicle_scenario_a_quality,slow_vehicle_scenario_a_type,slow_vehicle_scenario_a_order,foreign_object_scenario_a_time,foreign_object_scenario_a_time_start,foreign_object_scenario_a_time_end,foreign_object_scenario_a_quality,foreign_object_scenario_a_type,foreign_object_scenario_a_order,extreme_weather_scenario_a_time,extreme_weather_scenario_a_time_start,extreme_weather_scenario_a_time_end,extreme_weather_scenario_a_quality,extreme_weather_scenario_a_type,extreme_weather_scenario_a_order,park_scenario_a_time_participant,park_scenario_a_time_participant_start,park_scenario_a_time_participant_end,turn_left_scenario_a_time_participant,turn_left_scenario_a_time_participant_start,turn_left_scenario_a_time_participant_end,slow_vehicle_scenario_a_time_participant,slow_vehicle_scenario_a_time_participant_start,slow_vehicle_scenario_a_time_participant_end,foreign_object_scenario_a_time_participant,foreign_object_scenario_a_time_participant_start,foreign_object_scenario_a_time_participant_end,extreme_weather_scenario_a_time_participant,extreme_weather_scenario_a_time_participant_start,extreme_weather_scenario_a_time_participant_end
in25,,66,1610990063,1610990129,5,hard,ascending,46,1610990135,1610990181,5,hard,ascending,87,1610990188,1610990275,2,hard,ascending,60,1610990391,1610990451,4,hard,ascending,82,1610990455,1610990537,2,hard,ascending,31,1610990099,1610990130,18,1610990166,1610990184,24,1610990248,1610990272,-1610990438,1610990438,0,32,1610990510,1610990542
in26,,110,1611062231,1611062341,2,hard,ascending,114,1611062355,1611062469,4,hard,ascending,96,1611062479,1611062575,3,hard,ascending,68,1611062588,1611062656,2,hard,ascending,97,1611062663,1611062760,4,hard,ascending,83,1611062267,1611062350,89,1611062386,1611062475,36,1611062539,1611062575,32,1611062625,1611062657,28,1611062732,1611062760
in27,,379,1611066629,1611067008,2,hard,ascending,126,1611067179,1611067305,3,hard,ascending,139,1611067314,1611067453,1,hard,ascending,72,1611067458,1611067530,3,hard,ascending,96,1611067552,1611067648,3,hard,ascending,129,1611066893,1611067022,64,1611067245,1611067309,66,1611067384,1611067450,31,1611067518,1611067549,41,1611067613,1611067654
in29,,109,1611077278,1611077387,5,hard,ascending,99,1611077398,1611077497,5,hard,ascending,73,1611077574,1611077647,2,hard,ascending,60,1611077662,1611077722,2,hard,ascending,71,1611077729,1611077800,5,hard,ascending,74,1611077319,1611077393,36,1611077464,1611077500,14,1611077636,1611077650,25,1611077699,1611077724,28,1611077770,1611077798
in3,,132,1609949522,1609949654,5,easy,ascending,54,1609949662,1609949716,5,easy,ascending,60,1609949723,1609949783,2,easy,ascending,51,1609949792,1609949843,5,easy,ascending,87,1609949849,1609949936,3,easy,ascending,102,1609949553,1609949655,25,1609949692,1609949717,11,1609949772,1609949783,18,1609949824,1609949842,34,1609949901,1609949935
in30,,100,1611080343,1611080443,5,hard,ascending,107,1611080448,1611080555,5,hard,ascending,97,1611080566,1611080663,3,hard,ascending,60,1611080676,1611080736,5,hard,ascending,90,1611080746,1611080836,5,hard,ascending,65,1611080380,1611080445,79,1611080481,1611080560,42,1611080625,1611080667,24,1611080716,1611080740,35,1611080807,1611080842
in32,,89,1611159205,1611159294,4,hard,ascending,83,1611159305,1611159388,5,hard,ascending,108,1611159399,1611159507,2,hard,ascending,62,1611159514,1611159576,5,hard,ascending,67,1611159584,1611159651,5,hard,ascending,54,1611159242,1611159296,53,1611159342,1611159395,42,1611159465,1611159507,25,1611159554,1611159579,23,1611159630,1611159653
in35,,78,1611303308,1611303386,5,hard,ascending,71,1611303393,1611303464,5,hard,ascending,75,1611303470,1611303545,2,hard,ascending,59,1611303557,1611303616,5,hard,ascending,91,1611303629,1611303720,5,hard,ascending,30,1611303357,1611303387,36,1611303429,1611303465,15,1611303532,1611303547,21,1611303602,1611303623,37,1611303684,1611303721
in4,,160,1609954904,1609955064,2,easy,ascending,103,1609955181,1609955284,3,easy,ascending,119,1609955294,1609955413,2,easy,ascending,50,1609955420,1609955470,4,easy,ascending,75,1609955476,1609955551,5,easy,ascending,102,1609954965,1609955067,76,1609955215,1609955291,72,1609955343,1609955415,17,1609955454,1609955471,20,1609955528,1609955548
in5,,66,1609956985,1609957051,4,easy,ascending,55,1609957053,1609957108,5,easy,ascending,68,1609957115,1609957183,4,easy,ascending,49,1609957189,1609957238,5,easy,ascending,82,1609957242,1609957324,5,easy,ascending,32,1609957015,1609957047,24,1609957084,1609957108,20,1609957163,1609957183,13,1609957221,1609957234,25,1609957295,1609957320
in6,,148,1610043606,1610043754,3,easy,ascending,84,1610043763,1610043847,3,easy,ascending,60,1610043930,1610043990,4,easy,ascending,56,1610043997,1610044053,4,easy,ascending,70,1610044061,1610044131,4,easy,ascending,117,1610043641,1610043758,57,1610043798,1610043855,12,1610043980,1610043992,20,1610044033,1610044053,29,1610044105,1610044134
in8,,87,1610292308,1610292395,5,easy,descending,105,1610292196,1610292301,3,easy,descending,57,1610292132,1610292189,2,easy,descending,66,1610291617,1610291683,4,easy,descending,106,1610291500,1610291606,4,easy,descending,55,1610292340,1610292395,72,1610292229,1610292301,8,1610292181,1610292189,39,1610291650,1610291689,55,1610291553,1610291608
os1,,162,1609844754,1609844916,3,easy,ascending,99,1609845160,1609845259,3,easy,ascending,68,1609845271,1609845339,5,easy,ascending,71,1609845353,1609845424,3,easy,ascending,93,1609845430,1609845523,5,easy,ascending,131,1609844788,1609844919,75,1609845191,1609845266,26,1609845321,1609845347,39,1609845386,1609845425,48,1609845486,1609845534
os2,,144,1609941030,1609941174,2,easy,ascending,85,1609941192,1609941277,4,easy,ascending,66,1609941289,1609941355,3,easy,ascending,62,1609941376,1609941438,5,easy,ascending,93,1609941447,1609941540,3,easy,ascending,63,1609941125,1609941188,42,1609941239,1609941281,21,1609941346,1609941367,24,1609941414,1609941438,43,1609941507,1609941550
os3,,207,1609943704,1609943911,3,easy,ascending,43,1609944048,1609944091,4,easy,ascending,58,1609945492,1609945550,5,easy,ascending,46,1609945738,1609945784,5,easy,ascending,64,1609945794,1609945858,5,easy,ascending,172,1609943749,1609943921,20,1609944079,1609944099,-1609945614,1609945614,0,19,1609945770,1609945789,26,1609945838,1609945864
os4,,115,1610004023,1610004138,4,easy,ascending,78,1610004147,1610004225,5,easy,ascending,57,1610004337,1610004394,5,easy,ascending,49,1610004402,1610004451,5,easy,ascending,60,1610004567,1610004627,5,easy,ascending,88,1610004054,1610004142,48,1610004180,1610004228,12,1610004386,1610004398,23,1610004438,1610004461,26,1610004605,1610004631
os5,,221,1610379784,1610380005,2,easy,descending,79,1610379696,1610379775,3,easy,descending,163,1610379525,1610379688,2,easy,descending,53,1610379462,1610379515,5,easy,descending,93,1610379358,1610379451,4,easy,descending,191,1610379817,1610380008,46,1610379731,1610379777,32,1610379660,1610379692,23,1610379497,1610379520,62,1610379395,1610379457
sh1,,78,1609835207,1609835285,2,easy,ascending,48,1609835338,1609835386,,easy,ascending,0,0,0,,,,0,0,0,,,,0,0,0,,,,30,1609835238,1609835268,12,1609835369,1609835381,0,0,0,0,0,0,0,0,0
sh10,,144,1610368011,1610368155,2,easy,descending,54,1610367948,1610368002,5,easy,descending,72,1610367875,1610367947,3,easy,descending,56,1610367809,1610367865,5,easy,descending,87,1610367712,1610367799,3,easy,descending,27,1610368131,1610368158,24,1610367983,1610368007,13,1610367929,1610367942,24,1610367846,1610367870,42,1610367764,1610367806
sh11,,125,1610374326,1610374451,4,easy,descending,115,1610373748,1610373863,4,easy,descending,81,1610373660,1610373741,2,easy,descending,65,1610373584,1610373649,4,easy,descending,117,1610373441,1610373558,3,easy,descending,75,1610374387,1610374462,36,1610373828,1610373864,20,1610373724,1610373744,10,1610373646,1610373656,4,1610373575,1610373579
sh13,,61,1610459561,1610459622,5,easy,descending,53,1610459499,1610459552,4,easy,descending,65,1610459428,1610459493,5,easy,descending,73,1610459207,1610459280,5,easy,descending,76,1610458882,1610458958,4,easy,descending,27,1610459598,1610459625,17,1610459538,1610459555,12,1610459482,1610459494,22,1610459266,1610459288,28,1610458939,1610458967
sh14,,157,1610635954,1610636111,2,easy,descending,83,1610635861,1610635944,3,easy,descending,88,1610635765,1610635853,5,easy,descending,52,1610635704,1610635756,5,easy,descending,54,1610635481,1610635535,3,easy,descending,131,1610635988,1610636119,51,1610635898,1610635949,30,1610635826,1610635856,18,1610635743,1610635761,20,1610635520,1610635540
sh15,,112,1610640647,1610640759,2,easy,descending,96,1610640544,1610640640,3,easy,descending,87,1610640449,1610640536,2,easy,descending,62,1610640384,1610640446,3,easy,descending,132,1610640104,1610640236,3,easy,descending,86,1610640679,1610640765,61,1610640581,1610640642,31,1610640509,1610640540,20,1610640420,1610640440,51,1610640203,1610640254
sh16,,97,1610881947,1610882044,5,hard,descending,93,1610881847,1610881940,4,hard,descending,74,1610881766,1610881840,2,hard,descending,56,1610881702,1610881758,4,hard,descending,63,1610881633,1610881696,3,hard,descending,62,1610881982,1610882044,23,1610881918,1610881941,14,1610881827,1610881841,20,1610881742,1610881762,26,1610881673,1610881699
sh17,,165,1610887013,1610887178,3,hard,descending,116,1610886891,1610887007,3,hard,descending,97,1610886774,1610886871,2,hard,descending,68,1610886695,1610886763,4,hard,descending,96,1610886508,1610886604,3,hard,descending,76,1610887105,1610887181,76,1610886933,1610887009,48,1610886839,1610886887,34,1610886736,1610886770,58,1610886557,1610886615
sh19,,161,1610967985,1610968146,4,hard,ascending,175,1610968165,1610968340,3,hard,ascending,134,1610968357,1610968491,2,hard,ascending,74,1610968498,1610968572,4,hard,ascending,79,1610968592,1610968671,5,hard,ascending,117,1610968043,1610968160,126,1610968227,1610968353,69,1610968426,1610968495,47,1610968540,1610968587,44,1610968635,1610968679
sh2,,554,1609875171,1609875725,2,easy,ascending,160,1609876428,1609876588,5,easy,ascending,102,1609876600,1609876702,5,easy,ascending,71,1609876867,1609876938,5,easy,ascending,86,1609876945,1609877031,4,easy,ascending,-1609875261,1609875261,0,0,0,0,0,0,0,0,0,0,0,0,0
sh21,,130,1611053388,1611053518,4,hard,ascending,109,1611053528,1611053637,1,hard,ascending,85,1611053645,1611053730,2,hard,ascending,67,1611053736,1611053803,4,hard,ascending,66,1611053813,1611053879,5,hard,ascending,97,1611053427,1611053524,38,1611053602,1611053640,29,1611053704,1611053733,36,1611053773,1611053809,25,1611053858,1611053883
sh22,,359,1611058395,1611058754,2,hard,ascending,336,1611058881,1611059217,3,hard,ascending,160,1611059250,1611059410,2,hard,ascending,75,1611059963,1611060038,4,hard,ascending,105,1611060067,1611060172,4,hard,ascending,266,1611058499,1611058765,331,1611058916,1611059247,13,1611059420,1611059433,42,1611060020,1611060062,47,1611060138,1611060185
sh23,,154,1611138291,1611138445,4,hard,ascending,82,1611138454,1611138536,4,hard,ascending,82,1611138545,1611138627,2,hard,ascending,67,1611138640,1611138707,2,hard,ascending,99,1611138714,1611138813,4,hard,ascending,124,1611138327,1611138451,51,1611138490,1611138541,29,1611138606,1611138635,33,1611138677,1611138710,36,1611138773,1611138809
sh24,,210,1611142314,1611142524,3,hard,ascending,111,1611142529,1611142640,3,hard,ascending,93,1611142648,1611142741,2,hard,ascending,69,1611142750,1611142819,4,hard,ascending,85,1611142825,1611142910,4,hard,ascending,93,1611142433,1611142526,84,1611142560,1611142644,35,1611142711,1611142746,34,1611142786,1611142820,28,1611142882,1611142910
sh3,,148,1609933981,1609934129,2,easy,ascending,66,1609934186,1609934252,4,easy,ascending,85,1609934266,1609934351,1,easy,ascending,55,1609934359,1609934414,5,easy,ascending,69,1609934420,1609934489,3,easy,ascending,115,1609934018,1609934133,42,1609934221,1609934263,6,1609934349,1609934355,19,1609934396,1609934415,30,1609934460,1609934490
sh6,,261,1610105269,1610105530,1,easy,ascending,55,1610105537,1610105592,4,easy,ascending,73,1610105626,1610105699,4,easy,ascending,63,1610105714,1610105777,4,easy,ascending,79,1610105785,1610105864,5,easy,ascending,196,1610105337,1610105533,46,1610105574,1610105620,33,1610105676,1610105709,33,1610105748,1610105781,40,1610105830,1610105870
sh7,,225,1610276396,1610276621,3,easy,descending,67,1610276326,1610276393,4,easy,descending,177,1610276147,1610276324,2,easy,descending,65,1610276079,1610276144,5,easy,descending,93,1610275968,1610276061,4,easy,descending,207,1610276444,1610276651,27,1610276366,1610276393,118,1610276202,1610276320,15,1610276129,1610276144,49,1610276026,1610276075
sh8,,141,1610283352,1610283493,5,easy,descending,117,1610283134,1610283251,5,easy,descending,155,1610282805,1610282960,5,easy,descending,67,1610282717,1610282784,5,easy,descending,150,1610282564,1610282714,3,easy,descending,38,1610283457,1610283495,43,1610283208,1610283251,16,1610282940,1610282956,32,1610282769,1610282801,-1610282660,1610282660,0
sh9,,157,1610298524,1610298681,3,easy,descending,64,1610298452,1610298516,4,easy,descending,78,1610298372,1610298450,2,easy,descending,52,1610298313,1610298365,5,easy,descending,69,1610298235,1610298304,5,easy,descending,124,1610298560,1610298684,33,1610298488,1610298521,22,1610298424,1610298446,16,1610298352,1610298368,26,1610298283,1610298309
B56,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn08,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in34,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
im34,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
operator0,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
operator1,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
operator2,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
operator3,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
