,job92_scenario0_181,job94_scenario0_188,job95_scenario3_189,job96_scenario1_190,job97_scenario3_192,job98_scenario0_193,job99_scenario2_195,
in27,0.6923358054095756,0.5535088775137201,0.7626530616757392,0.6763285179607302,0.4651827058781042,0.30259934606700956,0.3771015401060327,
B14,0.850979233311355,0.7121523054154996,0.8012873691757794,0.7096351262455525,0.6855796076335152,0.41416110514283266,0.46554413282826446,
B11,0.5094944751856201,0.37836377267457133,0.7626530616757392,0.4159177271998953,0.7438352541816231,0.162197675707914,0.21358070339334567,
cn12,0.4033227651225735,0.27171090464683056,0.5705299754368851,0.3803890915424465,0.3699495736873979,0.0,0.038785723168692665,
B54,0.850979233311355,0.735271471769091,0.8826621820774786,0.7878902770365535,0.6624604412799238,0.48436194032238045,0.40379065897463284,
