,job418_scenario1_800,job420_scenario2_802,job422_scenario1_805,job423_scenario3_808,job425_scenario3_812,job426_scenario3_815,
in27,0.5921899042357314,0.5950954908350325,0.5811821925058839,0.9399737761290714,0.41024543038653793,0.19020995558128712,
B14,0.8139663874965263,0.7853054464163198,0.7011913129076233,0.7497638205477841,0.46005371560872954,0.31021907598302656,
B11,0.43743734935393863,0.42527808521110155,0.2616021036684583,0.33992817412037435,0.1933463559366505,0.0,
cn12,0.557446469755678,0.5287855286754716,0.5208775686374021,0.5413121074238132,0.34004459520699015,0.24001824080347878,
B54,0.7325915745948268,0.7537389187368121,0.6513830276854317,0.6030655812774446,0.3551094459491284,0.16981740562393088,
