,job463_scenario0_912,job466_scenario0_916,job468_scenario0_919,job470_scenario2_927,job471_scenario3_928,job472_scenario3_929,
in27,0.33024452327157405,0.2909321523876123,0.29423831764573904,0.21313804363509192,0.11156175907582311,0.21332912193487863,
B14,0.4467558163677898,0.42568520302651186,0.457438233853448,0.41179536054229543,0.31021907598302656,0.430228196384766,
B11,0.6552075294917609,0.6776486324614306,0.6160816617552274,0.5318044809440349,0.39866166870525827,0.7088807446882849,
cn12,0.1580147895897871,0.13228872448583262,0.08691453400193971,0.013133691837037165,0.0,0.049808285222191606,
B54,0.679983517702794,0.5660868733856075,0.5774473542551875,0.41179536054229543,0.46886250388480605,0.46886250388480605,
