,job163_scenario0_310,job164_scenario3_312,job166_scenario4_314,job167_scenario2_316,
in27,0.18259635973448596,0.4655004304544079,0.2558693815807954,0.0,
B14,0.25279719491403374,0.32509876009531224,0.47276845603068274,0.06487313596432992,
B11,0.2616779396023188,0.36861047640625993,0.21235766526984773,0.023119166353591514,
cn12,0.07765209007488494,0.32509876009531224,0.40256762085113496,0.0,
B54,0.3026054801362254,0.2752904748731207,0.5927775764324221,0.3600273612052182,
B51,0.3273814683472585,0.5153087156765994,0.40256762085113496,0.08137481290169934,
os4,0.29143150241407384,0.5153087156765994,0.47276845603068274,0.14312828675533085,
in4,0.2616779396023188,0.36861047640625993,0.28255850044939557,0.03594996593318467,
B33,0.3273814683472585,0.36861047640625993,0.1776142307897945,0.2400182408034788,
