,job408_scenario2_803,job410_scenario2_805,job411_scenario1_809,job412_scenario2_810,job413_scenario1_811,job414_scenario2_812,job415_scenario2_814,job416_scenario2_815,job417_scenario3_816,job418_scenario0_817,job419_scenario3_819,job420_scenario2_820,job422_scenario1_824,job423_scenario3_828,job424_scenario4_830,
in27,0.43645465232144465,0.47374514582502103,0.4186972709742486,0.45251547069448217,0.4291077133826514,0.38167931728045146,0.41622094482180494,0.4222253655695318,0.6194553178831828,0.24030643971439697,0.46022094333854563,0.3397743758690177,0.2566880679340206,0.1562528111364122,0.0,
B14,0.8582354873802944,0.8724068145302794,0.9142488937276547,0.7863040034354105,0.7575685469083618,0.8891761286652976,0.8313842904644326,0.9093296269970217,0.8096652734644699,0.5758350530606398,0.7704400193215724,0.6966820749635374,0.5904766006749489,0.434905359439931,0.3488533834830667,
B11,0.7799803365892934,0.8225985293080877,0.7556054658258753,0.7659114534780542,0.7228251124283086,0.7140310238261487,0.7500094775627333,0.6843762369356812,0.9683087013662494,0.5189589880179157,0.8090743268216123,0.6184269241725365,0.5353406162375394,0.5816035987102706,0.3221642646144665,
