,job774_scenario0_1684,job775_scenario0_1687,job776_scenario1_1689,job778_scenario1_1693,job780_scenario0_1697,job781_scenario4_1701,job782_scenario2_1702,job783_scenario2_1703,job784_scenario1_1705,job785_scenario3_1707,job786_scenario4_1709,job787_scenario1_1710,
in27,0.24899456804163345,0.21840239241438286,0.33822328447639366,0.27261853165274147,0.20657044296830918,0.42955046452122325,0.16488339599091367,0.19582740276046168,0.1031903609972436,0.21991941564761075,0.1806592217530662,0.0,
B14,0.3828620077323798,0.3047960078162406,0.40188988898759215,0.3722351020971246,0.225827667133774,0.5495595849229626,0.34519714026113496,0.4497039628529474,0.2934003165785308,0.4368184900974981,0.25086005693261393,0.16543396737025415,
B11,0.2557851075101082,0.25246013664031464,0.38364813144490834,0.3722351020971246,0.14573062064316022,0.39091615702118326,0.34519714026113496,0.20968572204946861,0.04631429595451969,0.1968002492940193,0.13085093653087454,0.02892317003114528,
