RecordTimeStamp,CurrentSystemTick,JobsId,WorkerId,ArrivalTime,AssignTime,Reason
1644424885,522,job247_scenario1_481,notAssignedYet,481,notAssignedYet,long_waiting_time,
1644424885,526,job251_scenario0_485,notAssignedYet,485,notAssignedYet,long_waiting_time,
1644424885,527,job252_scenario1_486,notAssignedYet,486,notAssignedYet,long_waiting_time,
1644424886,532,job255_scenario1_491,notAssignedYet,491,notAssignedYet,long_waiting_time,
1644424886,534,job256_scenario1_493,notAssignedYet,493,notAssignedYet,long_waiting_time,
1644424886,536,job258_scenario0_495,notAssignedYet,495,notAssignedYet,long_waiting_time,
1644424886,537,job259_scenario0_496,notAssignedYet,496,notAssignedYet,long_waiting_time,
1644424886,550,job267_scenario0_509,notAssignedYet,509,notAssignedYet,long_waiting_time,
1644424886,552,job268_scenario1_511,notAssignedYet,511,notAssignedYet,long_waiting_time,
1644424886,557,job272_scenario1_516,notAssignedYet,516,notAssignedYet,long_waiting_time,
1644424887,561,job275_scenario0_520,notAssignedYet,520,notAssignedYet,long_waiting_time,
1644424887,563,job276_scenario1_522,notAssignedYet,522,notAssignedYet,long_waiting_time,
1644424887,566,job277_scenario1_525,notAssignedYet,525,notAssignedYet,long_waiting_time,
1644424887,571,job279_scenario0_530,notAssignedYet,530,notAssignedYet,long_waiting_time,
1644424887,579,job283_scenario1_538,notAssignedYet,538,notAssignedYet,long_waiting_time,
1644424888,588,job288_scenario1_547,notAssignedYet,547,notAssignedYet,long_waiting_time,
1644424888,593,job290_scenario0_552,notAssignedYet,552,notAssignedYet,long_waiting_time,
1644424888,597,job291_scenario0_556,notAssignedYet,556,notAssignedYet,long_waiting_time,
1644424888,612,job298_scenario0_571,notAssignedYet,571,notAssignedYet,long_waiting_time,
1644424888,613,job299_scenario0_572,notAssignedYet,572,notAssignedYet,long_waiting_time,
1644424889,614,job300_scenario0_573,notAssignedYet,573,notAssignedYet,long_waiting_time,
1644424889,625,job306_scenario0_584,notAssignedYet,584,notAssignedYet,long_waiting_time,
